customer_id,address,postcode,state,country,property_valuation
1,060 Morning Avenue,2016,NSW,Australia,10
2,6 Meadow Vale Court,2153,NSW,Australia,10
4,0 Holy Cross Court,4211,QLD,Australia,9
5,17979 Del Mar Point,2448,NSW,Australia,4
6,9 Oakridge Court,3216,VIC,Australia,9
7,4 Delaware Trail,2210,NSW,Australia,9
8,49 Londonderry Lane,2650,NSW,Australia,4
9,97736 7th Trail,2023,NSW,Australia,12
11,93405 Ludington Park,3044,VIC,Australia,8
12,44339 Golden Leaf Alley,4557,QLD,Australia,4
13,2 Sutherland Street,3799,VIC,Australia,6
14,9 Mcbride Trail,2760,NSW,Australia,8
15,9861 New Castle Avenue,2428,NSW,Australia,9
16,52 Moland Street,3331,VIC,Australia,4
17,82391 Kensington Lane,3058,VIC,Australia,9
18,092 2nd Alley,2135,NSW,Australia,12
19,59 Spaight Circle,2233,NSW,Australia,9
20,032 Bartelt Crossing,2444,NSW,Australia,8
21,18 Jenna Center,2650,NSW,Australia,7
24,3 Cordelia Plaza,2153,NSW,Australia,10
25,28 5th Center,4413,QLD,Australia,3
26,52 Carey Alley,4740,QLD,Australia,5
27,96 Texas Plaza,3218,VIC,Australia,7
28,48 Eagan Avenue,4868,QLD,Australia,4
29,9 Buell Park,4116,QLD,Australia,7
30,02663 Buell Parkway,2519,NSW,Australia,11
31,2294 Pleasure Place,2135,NSW,Australia,12
32,2951 Petterle Place,2756,NSW,Australia,9
33,63 Lukken Drive,2170,NSW,Australia,9
34,833 Luster Way,4005,QLD,Australia,8
35,34 Russell Plaza,4127,QLD,Australia,6
36,78 Del Sol Hill,2535,NSW,Australia,8
37,54 Sage Plaza,4726,QLD,Australia,1
38,90 Lawn Parkway,4805,QLD,Australia,4
39,38726 Ilene Crossing,2212,NSW,Australia,10
40,3496 Brown Drive,2207,NSW,Australia,8
41,7188 Cody Way,3350,VIC,Australia,9
42,1 Claremont Park,3931,VIC,Australia,10
43,60 Eagan Circle,4018,QLD,Australia,8
44,89314 Eagle Crest Center,4670,QLD,Australia,2
45,2028 Lakewood Place,2480,NSW,Australia,3
46,70875 Hudson Point,3212,VIC,Australia,6
47,543 Killdeer Park,2322,NSW,Australia,4
48,22125 Ramsey Drive,3198,VIC,Australia,9
49,3107 Calypso Terrace,2210,NSW,Australia,9
50,957 Veith Junction,2047,NSW,Australia,10
51,4853 Gulseth Avenue,4503,QLD,Australia,5
52,9 Michigan Terrace,2145,NSW,Australia,8
53,62 Steensland Road,4350,QLD,Australia,3
54,6 Homewood Avenue,2142,NSW,Australia,8
55,15 Almo Lane,2029,NSW,Australia,10
56,690 Glacier Hill Circle,2127,NSW,Australia,10
57,89787 Village Green Terrace,4280,QLD,Australia,6
58,18 Elgar Park,2166,NSW,Australia,9
59,413 Mayer Street,2046,NSW,Australia,9
60,39 3rd Drive,2026,NSW,Australia,10
61,44516 Katie Parkway,2765,NSW,Australia,7
62,41 Schurz Center,2749,NSW,Australia,8
63,68150 Boyd Road,2745,NSW,Australia,9
64,11474 Westend Hill,3752,VIC,Australia,8
65,308 Jana Crossing,2153,NSW,Australia,10
66,163 Straubel Trail,2217,NSW,Australia,10
67,68294 Clarendon Crossing,2230,NSW,Australia,10
68,486 Mariners Cove Plaza,3046,VIC,Australia,7
69,0322 Dryden Court,3183,VIC,Australia,7
70,9 Bonner Road,2070,NSW,Australia,12
71,07041 Briar Crest Lane,2213,NSW,Australia,10
72,29466 Hanson Pass,4208,QLD,Australia,6
73,0212 Forest Run Trail,2774,NSW,Australia,8
74,33055 Menomonie Parkway,4133,QLD,Australia,8
75,4763 Merchant Avenue,2756,NSW,Australia,8
76,439 Ridgeway Court,4213,QLD,Australia,9
77,2 Clyde Gallagher Lane,4170,QLD,Australia,5
78,97455 Loeprich Lane,2153,NSW,Australia,9
79,9527 Ridgeway Street,2073,NSW,Australia,10
80,7 Jackson Point,3561,VIC,Australia,1
81,74 Anniversary Junction,2330,NSW,Australia,6
82,2083 Spaight Court,3977,VIC,Australia,8
83,2796 Caliangt Circle,2204,NSW,Australia,12
84,96061 Ludington Place,2086,NSW,Australia,11
85,5037 Merchant Crossing,2226,NSW,Australia,11
86,289 Haas Street,2075,NSW,Australia,11
87,4423 Bartelt Parkway,2038,NSW,Australia,12
88,5 Grim Center,2069,NSW,Australia,12
89,73042 Roth Crossing,2100,NSW,Australia,11
90,171 Fordem Junction,2233,NSW,Australia,10
91,2640 Manley Point,2166,NSW,Australia,9
92,3 Hintze Pass,3133,VIC,Australia,10
93,2 Mcbride Road,3070,VIC,Australia,10
94,67234 Transport Hill,2777,NSW,Australia,7
